after_treatment,text
手机 两天 质量 没 问题 拍照 上网 速度 都 好 赠品 充电器 瑕疵 售后 已经 解决 态度 非常 好 以后 还 回来 光顾,手机用了两天质量没问题拍照上网速度都很好，就是赠品充电器有些瑕疵，售后已经解决了而且态度非常好，以后还回来光顾
售后服务 态度 好,售后服务态度很好
售后服务 态度 好,售后服务态度很好
习惯 这家 买 数码产品 安心,很习惯这家买数码产品～ 很安心
正品 实体店 买 店家 服务态度 忒 好 年后 再 买 一台 希望 店家 优惠,是正品，跟实体店买的一样，店家服务态度忒别好，年后再买一台，希望店家给个优惠
手机 已 收到 正名 喜欢 流畅,手机已收到。是正名很喜欢！用着很流畅
手机 上 手 感觉 不错 第一次 网上 买 没 失望,手机上手感觉很不错，第一次在网上买没让我失望。
服务 特别 好,服务特别好
非常 流畅 还 颜色 非常 好看 还 体验 中 应该 正品,非常流畅还可以，颜色也非常好看，还在体验中应该是正品
还 行 应该 正品 不卡 有点 问题 APP 下载 不了 后来 官网 客服 解决,还行，应该是正品，用着不卡，一开始有点问题，APP下载不了，后来打给官网客服，解决了！！
收到 货 老公 喜欢,收到货了，老公很喜欢。
宝贝 不错 星期 感觉 好 的确 正品 多话 不 说,宝贝不错，用了一个星期，感觉很好👍🏽，的确是正品……多话不说了，总而言之，👍👍👍
实体店 便宜 送 老婆 新年礼物,比实体店便宜，送老婆的新年礼物，哈哈
实体店 便宜 送 老婆 新年礼物,比实体店便宜，送老婆的新年礼物，哈哈
显示 效果 好 不错 运行 速度 挺快,显示效果：很好，不错 运行速度：还是挺快的
速度 好快 赠品 很多 正品 未激活 好评,速度好快，赠品也很多！而且是正品未激活，好评呢
一如既往 丑,一般吧，还是一如既往的丑
目前 还行 拍照 效果 清晰,目前用着还行 拍照效果： 清晰
好用 客服 快递,好用！客服也好！快递也好！
刚 拿到 新机 有个 划痕 印子 刚 拿到 新机 遇到 外观 瑕疵 太 难受 感受 一副 崭新 眼镜 上 划痕 以后 看 东西 都 划痕,刚拿到的新机，有个像划痕的印子，刚拿到的新机就遇到外观的瑕疵，太**难受了。那感受就像一副崭新的眼镜上有个划痕，以后看什么东西都有划痕。
快递 速度 超超 超级 速度 手机 朋友 买 收到 后 满意 客服 方敏 米粒 都 非常 好 耐心 回答 问题,快递速度超超超级速度，手机是给朋友买的，他收到后很满意。客服方敏，米粒，都非常好，很有耐心回答我的问题。
手机 不错 发货 速度快,手机不错发货速度快
垃圾 手机 壳 膜 没 送 送个 无线 充 坏 退货 不 退 实体店 买 谱,垃圾手机，壳膜又没送，送个无线充还是坏的。 退货又不给退，还是在实体店买靠谱
正版 机 验过 当天 晚上 下单 同城 闪送 晚上 拿到 客服 送 很多 配件 满满的 正 能量 后面 老婆 要换 手机 还来 这家 服务 贴心 苍兰 小姐姐 售后 客服 非常 棒 赞赞赞,是正版机，验过了，当天晚上下单，同城闪送晚上就拿到了，客服很送了很多配件，满满的正能量。后面老婆👌🏻要换手机还来这家。服务也贴心，苍兰小姐姐的售后客服也非常棒呢，赞赞赞
收到 手机 以后 想象 中 奶 黄色 温暖 颜色 看上去 舒服 手感 特别 棒,收到手机以后和想象中的一样，奶黄色，温暖的颜色。看上去很舒服，手感特别棒！
拍照 效果 非常 好 正品,拍照效果：非常好，正品
女朋友 特别 喜欢,女朋友特别喜欢
非常 满意 物流 给力 手机 正品,非常满意，物流给力，手机正品。
非常 好 发货 快递 都 很快 老婆 买,非常好，发货和快递都很快，给老婆买的
手机 验证 正品 满意,手机验证了是正品，满意
满意 颜色 特别 喜欢 仓兰 服务 好,很满意，颜色特别喜欢，仓兰的服务也很好
送人 应该 还 不错,送人的，应该还不错😂
货已 收到 喜欢 客服 颖儿 非常 好 点个 赞,货已收到，很喜欢，客服颖儿非常好，给她点个赞
直播间 买 喜欢,在直播间买的，很喜欢
正品,正品
手机 不错 挺 喜欢 紫色 米粒 服务 好 棒棒,手机很不错。挺喜欢紫色的。米粒服务好棒棒
手机 收到 满意 正品 物流 快 赠送 礼品 喜欢 客服 服务周到 热情 满意 一次 购物,手机收到很满意，是正品，物流快，赠送的礼品也很喜欢，客服服务周到热情，很满意的一次购物！
电话 不错 挺 好 不 懂 还 误解 实在 不好意思 谢谢 小灰 苍兰 细心 答复 机器 正品 以后 还会 光顾 碰到 好心人 真是 幸运 感谢 不 说 孩子 喜欢 谢谢,电话不错，挺好的，我开始不懂还误解他们了，实在不好意思了，谢谢小灰还有苍兰细心答复，机器正品，以后还会光顾的！碰到你们好心人真是幸运，感谢的话就不说了，孩子很喜欢，谢谢
完美 价格 实惠 不坑 正品 国行 三码 一致 爱思 全绿 客服 熊二 棒棒 哒 服务 耐心 细致,完美！！！价格实惠不坑，正品国行，三码一致，爱思全绿！！客服熊二棒棒哒，服务耐心细致！！
都 这家 买 值得 信赖 商家 手机 国行 正品,都是这家买的，值得信赖的商家，手机是国行正品
正品 好,正品 很好用
买 没 看 这家 评价 服务 新手机 到手 出现 问题 后 才 来看 评价 确实 遭遇 相似 01 赠品 问题 手机 赠品 烂 一塌糊涂 送 还 不送 无限 充电器 完全 充不 进去 电 最 主要 线 还 特短 手机 膜 尽然 不是 全屏 贴上去 逼格 完全 下降 不少 02 客服 服务 问题 服务态度 确实 人 感到 无语 出现 问题 客服 反应 客服 总是 推三阻四 好好 检查 最后 不了了之 完全 店大欺客 态度 03 价格 问题 买 两天 第三天 降价 最 主要 反映 客服 后 客服 说辞 人 感到 肉疼 具体 内容 体会 04 手机 质量 问题 手机信号 确实 硬伤 最后 总结 本人 太懒 客服 强调 寄 回来 退换货 来回 折腾 6 天 快递 实在 人 难受 大家 不 着急 购买 手机 建议 实体店 购买 看 直播 购买 优惠 只能 呵呵 直播 购买 快 看 粗大 耳机 短小 无线 充电,买的时候没怎么看这家得评价服务 新手机到手出现问题后才来看评价 确实和他们遭遇的相似 01.赠品问题 手机赠品烂的一塌糊涂送了还不如不送（无限充电器完全充不进去电 最主要的是线还特短 手机膜尽然不是全屏的贴上去逼格完全下降了不少 ）02.客服服务问题 服务态度确实让人感到无语（无论出现啥问题和客服反应 客服总是推三阻四让自己好好检查 最后还是不了了之 完全是店大欺客的态度）03.关于价格问题 买了两天第三天就降价 最主要的是反映客服后（客服的说辞让人感到肉疼 具体的内容可自己体会）04 关于手机质量问题 （手机信号确实是个硬伤 ）最后总结 本人也是太懒了 客服一直强调可以寄回来退换货 可是来回折腾6天的快递 实在让人难受 如果大家要是不着急购买手机 我建议还是实体店购买 看直播购买有优惠 我只能呵呵 因为我也是直播购买的 快看这粗大的耳机 和短小的无线充电 👇👇👇
物流 速度快 次日 收到,物流速度快，次日收到！
触摸屏 反应 不是 很快 膜 都 没 送 套 都 没有 四五天 到货,触摸屏反应不是很快。膜都没送一个，套都没有。四五天在到货
手机 不错 客服 小加 服务 更好,手机到了用着不错，客服小加服务更好哦
蓝牙 耳机 垃圾 音效 特别 差 就算 赠送 不能 点心 实体店 买 不会 送 差,蓝牙耳机是垃圾 音效特别差 就算是赠送的能不能用点心啊！ 在实体店买不会送这么差的吧！😓
一如既往 好,一如既往的好
手机 真 不赖 超级 喜欢 尤其 客服 漂亮 丫头 服务态度 更是 棒棒 哒,这个手机真不赖超级喜欢尤其是客服“漂亮的丫头 ”的服务态度更是棒棒哒 ”。
手机 挺 好 送 无线 充的线 太短 15 公分 长 希望 店家 采纳 意见 做 越来越 好,手机挺好的 就是送的无线充的线 太短了 只有15公分长 希望店家能采纳意见 望你做的越来越好
非常 好 25 号 显示 25 号 激活 他家 买过 4 部 苹果 没 出过 一次 问题,非常好，25号到的显示25号激活的，在他家买过4部苹果了没出过一次问题
nice 苹果 好 包装 诚意,很nice，苹果就是好，包装就很有诚意
配件 以次充好 地摊货,配件以次充好地摊货
第一次 来个 长评 不 知道 运气 不好 所有 11 机子 都 问题 1 买回来 半个 月 以内 出现 两次 刷 视频 忽然 卡住 自动关机 2 声音 时有时无 明明 开 声音 3 动不动 点 屏幕 卡住 不 动 没有 反应 现在 几率 越来越 高 4 信号 非常 差 室外 没有 满格过 5 服务 少发 赠品 不会 提前 告知 客服 答非所问 问 啥时候 补发 回复 都 不 知道 快捷 回复 参考 一下,第一次来个长评吧，我不知道是我运气不好还是所有11的机子都有这些问题，1买回来半个月以内出现两次刷视频忽然卡住自动关机，2声音时有时无、我明明开了声音，3动不动点屏幕就卡住不动没有任何反应，现在几率越来越高，4，信号非常差；我除非在室外，不然就没有满格过，5服务，少发赠品不会提前告知并且客服答非所问，我问啥时候补发回复的都是不知道要么就是快捷回复。。各位参考一下。。
机器 收到 快递 挺快 满意 兰兰 服务态度 好 回复 消息 及时,机器收到了，快递挺快的，其他我也很满意，兰兰服务态度好 回复消息及时
客服 耐心 讲解 手机 宣传 不错,客服很耐心讲解，手机也跟宣传的一样，很不错，
货已 正品 喜欢,货已到，正品，喜欢！
买 两个 还行,买了两个还行吧
客服 兰兰 服务态度 非常 好,客服兰兰服务态度非常好👍。
拍照 效果 清晰 显示 效果 好 电池 续航 一天 一充 运行 速度 很快,拍照效果：很清晰 显示效果：很好 电池续航：一天一充 运行速度：很快
物流 有点 慢,就是物流有点慢
机子 收到 正品 失望 奔 次日 达 保证 客服 讲 第二天 晚上 急用 居然 发 顺丰 特惠 标准 快递 几块钱 事 耽误 大事 做事 太 差劲,机子收到是正品，但是让我很失望的是，奔着他次日达的保证来的，也跟客服讲了第二天晚上急用，居然给发了个顺丰特惠，标准快递就那几块钱的事，耽误我大事，做事太差劲了
物流 太慢,物流太慢。
手机 正品 值得 购买 配件 不 知道,手机是正品值得购买就是配件那就不知道了
手机 好 系统 流畅 发货 快 隔天 收到 客服 苍兰 服务态度 好 小 问题 很快 解决 满意,手机很好用，系统很流畅，发货快隔天就收到了，客服苍兰服务态度也很好，有小问题很快就解决了，满意。
手机 半天 充电 发烫 玩儿 游戏 发烫 what f ck 鬼,手机用了半天，充电发烫，玩儿游戏也发烫，what f🌟ck？什么鬼？
耳机 废,耳机是废的
一下 看 百度 卡 几次,用了一下，看百度时候卡了几次。
机子 完美 运行 客服 毛毛 热情 满意,机子完美运行，客服毛毛也很热情，总的来说很满意
第四次 能良 买 电子产品 质量 保证 物流 快捷 客服 毛毛 更 力,第四次在能良买电子产品的。质量有保证。物流也快捷，客服毛毛更给力！
垃圾 中 垃圾 商家 说 赠送 视频 会员 10 块钱 一年 第三方 垃圾 赠品 全是 垃圾 无线 充电 随时 都 爆炸 危险 通电 高温,垃圾中的垃圾商家 说赠送的视频会员就是10块钱一年的第三方垃圾！赠品全是垃圾 无线充电随时都有爆炸的危险 通电就高温！
手机 非常 好 手机 非常 好 手机 充电 头子 坏 客服 去 网点 处理 寄来 无线耳机 好像 别人 使用 有点 脏,手机非常好手机非常好。但手机充电头子坏。客服要我自己去网点处理寄来的无线耳机好像别人使用过的，有点脏。
好 一如 继往 好 店铺 购买 几个 手机 真心 不错,很好，一如继往的好，在本店铺购买几个手机了，真心不错。
好 网上 说 毛病 都 没 遇到 客服 豆子 豆子 豆子 好 好,很好，网上说的那些毛病我都没遇到还有就是客服：豆子豆子豆子很好很好
说好 无线 充电,说好的无线充电呢？
收到 还 没有 启动 应该 不错 感谢 小鱼儿 热情服务,收到了 还没有启动 不过应该是不错的 同时也感谢小鱼儿的热情服务！
宝山 虹桥 快递 竟然 两天 明明 还 卖家 沟通 好 说 手机 丢 着急,宝山到虹桥快递竟然要两天，明明还跟卖家沟通好了说手机丢了着急用。
服务态度 好 耐心 解释 拍 喜欢 颜色,服务态度好耐心的解释 .拍了自己喜欢的颜色
不错 赠送 膜 小 一圈,不错，就是赠送的膜小了一圈
赠品 算是 地摊货 客服 答非所问,赠品算是地摊货。客服答非所问。
非常 完美,非常完美
挺 好 安敏,挺好的。安敏
全新 机未 拆封 音质 好 物流 特别 快 还 送 小 礼物 特别 实惠 售后服务 态度 好 毛毛 耐心 解答 问题 非常感谢 放心 购买,全新机未拆封，音质很好，物流特别快，还送了小礼物 特别实惠！售后服务态度很好，毛毛很耐心的解答各种问题，非常感谢！可以放心购买
全新 机未 拆风 音质 好 物流 特别 快 还 送 小 礼品 特别 实惠 米粒 服务 好 美丽 耐心 解答 问题 非常感谢 放心 购买,全新机未拆风音质很好，物流特别快。还送了小礼品特别实惠。米粒服务很好。美丽很耐心的解答各种问题，非常感谢可以放心购买。
收到 几天 可能 用安卓 习惯 感觉 新手机 不太 习惯 手机 没话说 手机 运行 快 手感 好 喜欢 ｢ ･ ω ･ ｢,收到用了几天，可能用安卓的用习惯了，感觉用新手机不太习惯，但是手机没话说，手机运行快，手感好喜欢(｢･ω･)｢嘿
特色 棒 运行 速度 很快 拍照 效果 非常 好 显示 效果 非常 好,其他特色：棒 运行速度：很快 拍照效果：非常好 显示效果：非常好
3 号 货 两天 才 评价 听说 11 发烫 激活 一会 发烫 现在 不会 整体 感觉 挺好用 搞 活动 送 蓝牙 耳机 挺不错 值得 信赖 谢谢 快递 小哥 辛苦,3号到的货 用了两天才来评价 听说11发烫 也就激活的那一会发烫 不过现在不会了 整体感觉挺好用得 搞活动送了个蓝牙耳机挺不错 值得信赖 同时也谢谢快递小哥 辛苦了
东西 蛮 好 特别 好 买买 买 大家 快 买买 买买 都 好 东西,东西蛮好的，特别好可以买买买，大家快来买买买买，都是好东西
拍照 效果 拍照 效果 很棒 运行 速度 杠杠 感觉 都 挺不错,拍照效果：拍照效果还是很棒的运行的速度也是杠杠的感觉都挺不错的。
物流 速度 非常 快 手机 正品 运行 起来 非常 流畅 已经 一段时间 没有 出现 问题,物流速度非常快，手机是正品，运行起来非常流畅，已经用了一段时间，没有出现任何问题！！！
官方 快充 买 以外 都 挺不错,除了官方的快充自己买以外其他的都挺不错的
手机 不错 设置 时 容易 礼包 不错 一段时间 再 评价,手机很不错，设置时也很容易。还有礼包不错哈。用一段时间再来评价吧。
收到 货 喜欢 都 好 他家 买 手机 质量 保证,收到货喜欢都很好，一直在他家买的手机质量有保证
手机 正品 客服 小九 态度 真的 不错 帮 及时 安排 发货 还 送 很多 东西 非常 满意,手机是正品，客服小九态度真的很不错，帮我及时安排了发货，还送了很多东西，非常满意。
很快 收到 颜色 好好看 不错 不错,很快就收到啦，颜色好好看，不错不错
颜色 爱 爱 超级 喜欢,这颜色爱了爱了……超级喜欢
手机 收到 糖果 色 真的 好看 少女 心 十足 送 礼物 很棒 无线 充电 好 谢谢 卖家,手机收到了。糖果色真的好看。少女心十足。而且送的礼物很棒。无线充电也很好用。谢谢卖家。
手机 收到 正品 店里 前前后后 买 八部 手机 说 忠粉,手机收到了，是正品，我在这店里前前后后买了八部手机，可以说是忠粉了。
拍照 效果 拍照 效果 不错 电池 续航 续航 不错 运行 速度 速度 非常 nice,拍照效果：拍照效果不错 电池续航：续航不错 运行速度：速度非常nice
收到 体验 感 还 不错,收到了，体验感还不错
买 第八天 降价 客服 告诉 7 天内 降价 退 给力 嗷 得亏 看 评价 挺 好 整一 购买 需谨慎 想 问 一下 8 天前 我整 11 价格 一天 一变 ❕,买了第八天降价，客服告诉我7天内降价可以退，给力嗷！得亏看评价挺好，整一**哈，购买需谨慎哦。 我想问一下这8天前就我整了个11？价格一天一变🐮🍺❕
非常 好用,非常好用
非常 好用,非常好用
非常 好用,非常好用
运行 速度 王者 荣耀 贼 6,运行速度：打王者荣耀贼6
这家 买 四 部手机 都 正品,在这家买了四部手机了都是正品
不错 值得 入手 商家 服务态度,不错，值得入手，商家服务态度可以。
还 不错 用惯 6s 感觉 手机 大 很多,还不错 就是用惯6s了 感觉这个手机大很多
老店 值得 信赖 算是 本店 粉丝 再 店里 淘过 不少,老店值得信赖，我算是本店的粉丝吧！再店里淘过不少了
使用 几天 没 发现 问题 应该 正品 新货,使用了几天，没发现问题，应该正品新货吧。
手机 还 不错 客服 叶子 热心,手机用的还不错。客服叶子很热心，
电池 续航 续航 抗抗,电池续航：续航抗抗
拍照 效果 清晰 清透 显示 效果 清楚 电池 续航 运行 速度 快 通信 音质 特色 白色 耐看 手感 柔软 运行 流畅,拍照效果：清晰清透 显示效果：很清楚 电池续航：一般 运行速度：快 通信音质：一般 其他特色：白色耐看。手感柔软。运行流畅。
好 第二次 买手机,很好 用。第二次在这个买手机 了
拍照 效果 牛 逼 显示 效果 没有 差 电池 续航 暂时 还 通信 音质 清晰 立体声 大 运行 速度 系统 不 说 苹果 手机 特色 客户 米粒 恩 灰灰 都 耐心 回答 其实 买 之前 担心 拿到 手后 觉得 真不错 第一次 网购 手机 担心 肯定 朋友 买 手机 建议 这家 买 后须 追评,拍照效果：牛逼 显示效果：没有哪么差 电池续航：暂时还可以 通信音质：清晰，立体声大 运行速度：系统就不说了，因为我一直用苹果手机 其他特色：客户米粒恩，和灰灰都耐心回答，其实买之前各种担心，拿到手后觉得真不错，第一次网购手机担心是肯定的，朋友们如果你要买这手机，我建议在这家买，其他的后须追评
叶子 客服 赞,叶子客服赞
真香机 目前 几天 感觉 音质 提升 很大 手机 自带 立体 音质 看 电影 超爽 推荐 大家 这家 店 购买 这家 店 买 第三个 手机 苹果 6p 7p 11 跨度 有点 大 供 大家 参考 第一次 多字 评价,果然是真香机，目前用了几天，感觉音质提升很大，手机自带立体音质看电影超爽。推荐大家到这家店购买，这是我在这家店买的第三个手机了，苹果6p，7p，11，跨度有点大。供大家参考，第一次打这么多字的评价！
不错 好 几天 追加,不错，很好，用几天在追加
特色 物流 很快 第三天 中午 海南 运行 速度 很快 拍照 效果 好 显示 效果 调 色调 不错 电池 续航 电池 ok 通信 音质 完美,其他特色：物流很快第三天中午就到了海南 运行速度：很快 拍照效果：也很好 显示效果：自己调了色调，很不错的哇 电池续航：电池也很ok 通信音质：完美
拍照 效果 清楚 显示 效果 鲜亮 电池 续航 10 小时 运行 速度 很快 不卡 通信 音质 音质 好 声音 大,拍照效果：很清楚 显示效果：很鲜亮 电池续航：10个小时 运行速度：很快，不卡 通信音质：音质很好，声音很也大
客户服务 态度 好 物流 力,客户服务态度好，物流也给力
拍照 效果 拍照 清晰 广角镜头 实用 电池 续航 大概 十多个 小时 通信 音质 音质 不错 声音 挺 大 特色 能良 值得 信赖 官方 正品 行货,拍照效果：拍照清晰，那个广角镜头实用 电池续航：大概十多个小时吧 通信音质：音质不错，声音也挺大 其他特色：能良值得信赖，官方正品行货。
手机 刚刚 收到 好 正品 还 没 正常 使用 运行 速度 很快 6s 快 送 赠品 还 没用 不 知道 质量 物流 超快 不错 一次 购物 体验,手机刚刚收到，很好，是正品。还没开始正常使用，运行速度很快，比我的6s要快。送的赠品还没用，不知道质量怎么样。物流也是超快的，不错的一次购物体验
能良 买 第八个 机了 一如既往 好 全新 国行 东西 保真 速度 快 妥妥,在能良买的第八个🍎机了 一如既往的好 全新国行 东西保真 速度也快 妥妥的
物流 很快 满意 十天 才 评价 简直 魔鬼 手机 运行 快 夜拍 模式 好 跑 分高得 惊人 真香 系列 不 知道 说 好,首先物流很快这让我很满意 用了十天才来评价的 简直魔鬼手机 运行快 夜拍模式很好 跑分高得惊人 真香系列 不知道说啥 就是好。
顺风 快递 力 隔天 手机 好 手感 不错 觉得 现在 xs max 手感 好 运行 流畅 两天 才 评价,顺风快递很给力，隔天就到，手机也很好，手感不错，我觉得比我现在用xs max手感要好，运行流畅，用了两天才来评价的，
比官 网要 贵 一点 送 无线耳机 无线 不是 正品 配套 手机 该是 正品 配套 钢化 膜 小 一号 手机 起来 挺 好 总 感觉 触屏 没 灵 可能 原因,比官网要贵一点，送的无线耳机和无线冲不是正品配套，手机因该是正品，配套的钢化膜小了一号😂。手机用起来挺好，但总感觉触屏没那么灵，可能是自己的原因吧！
特色 游戏 运气 拍照 效果 拍照 效果 好,其他特色：游戏运气也可以 拍照效果：拍照效果好
定 好 闹钟 第一 时间 来能 良家 拍 绿色 太给力 谢谢 客服 小九 耐心 解答 谢谢 手机 收到 满意 以后 买手机 还会来 找 能良 找 小 九,定好闹钟第一时间来能良家拍绿色，😄太给力了，谢谢客服小九耐心的解答，谢谢，手机收到很满意。以后买手机还会来找能良找小九
运行 速度 苹果 系统 原来 那味 不错 适合 这种 不 玩游戏 人 需要 注意 他家 送 手机 壳 防爆膜 后面 快递 直接 买 手机 壳 防爆膜,运行速度：苹果的系统还是原来那味 不错了。适合我这种不玩游戏的人。 需要注意的是他家送的手机壳和防爆膜是后面一个快递。我自己直接买了手机壳和防爆膜了。
查询 正品 物流 快 颜色 喜欢 小 礼品 送 满意,查询是正品，物流也快，颜色也很喜欢，还有小礼品送，满意！
觉得 白色 比较 好看 手感 不错,还是觉得白色比较好看，手感不错哦
挺 好 支持 起来 不错 主要 喜欢 颜色 真心,挺好的，支持。用起来也不错，主要也是喜欢这个颜色，真心
正品 手机 运行 非常 棒 客服 俊 炯 非常 好 发货 超快 下次 会 光顾 一次 非常 愉快 购物,正品，手机运行非常棒，客服俊炯非常好，发货超快，下次会在光顾，一次非常愉快的购物。
客服 小鱼 不错 买 几次 一如既往 好 希望 生意兴隆,客服小鱼不错！买了几次，一如既往的好！希望生意兴隆
手机 不错 小鹿 服务 说 说,手机不错，小鹿服务也好说，跟说的一样
物流 很快 一天 收到 手机 赠送 礼品 精美 客服 安敏 小 七 热情服务 态度 满意 完美 一次 购物 五星 好评,物流很快 一天就收到手机 赠送的礼品很精美 客服安敏和小七的热情服务态度也很满意 完美的一次购物 五星好评😃
客服 耐心 解答 问题 下单 后 第二天 收到 货 还 送 不少 宝贝,客服很有耐心的解答问题，下单后第二天就收到货 还送了不少宝贝。
手机 今天 刚到 一下 感觉 不错 快递 昨天下午 寄 今天 早上,手机今天刚到，用了一下感觉很不错，快递昨天下午寄的，今天早上就到了
机器 不错 颜色 好看,机器不错，颜色很好看！！！！！
挺 好看 紫色 还,挺好看的紫色还可以
手机 收到 快递 速度快 服务 好 客服 叶子 服务 好,手机以收到，快递速度快，服务好，客服叶子服务好
客服 叶子 服务 非常 好 东西 不错,客服叶子服务非常好，东西也不错
东西 好 很快 第二天,东西很好，很快！第二天就到了！
手机 收到 满意,手机收到了很满意
国行 正品 不错 手感 特 好 质感 一流 中国 红 相当 喜庆 送 礼品 不 评价 特别感谢 客服 豆子 热情服务,国行正品，不错，手感特好，质感一流！中国红相当喜庆！送的礼品就不评价了！特别感谢客服豆子的热情服务👍
服务态度 好 手机 挺 好看 以后 再 买 还 会,服务态度很好，手机挺好看的，以后再买还会来的
拍照 效果 好 运行 速度 很快 电池 续航 大半天,拍照效果：好 运行速度：很快 电池续航：大半天
iPhone11 确实 不错,iPhone11确实很不错
物流 很快 舒心 一次 购物 送给 老婆 谢谢,物流很快，很舒心的一次购物是送给老婆的谢谢
快递 很快 兰兰 客服 非常 好 笔芯,快递很快 那个兰兰的客服非常好 笔芯🥰
好看 客服 态度 配送 速度 惊人,很好看，客服态度也好，配送速度惊人！
国行 正品 非常 满意 已经 这家 店 买 3 次 手机,国行正品，非常满意，已经在这家店买了3次手机了。
第一次 网上 买手机 不错 体验 下单 第三天 收到 客服 不错 耐心 回答 问题 赞,第一次在网上买手机，是个不错的体验！下单第三天就收到了，客服不错，很耐心的回答我的问题，给个赞
表白 客服 小鹿 细心 解答 问题 手机 很棒 逃不过 真香 定律,表白客服小鹿🦌，很细心的解答问题呢，手机很棒，逃不过真香定律。
手机 没收 惊喜 赠品 手机 分 开发 单号 服务态度 真是 没,手机没收到就给我个惊喜，赠品是跟手机分开发的，就给我一个单号，这服务态度真是没谁了
非常 喜欢 合适 不错,非常喜欢合适不错
帮 朋友 买 说 还 不错,帮朋友买的、说还不错
整体 还行 用用 再 追加 评论,整体还行吧！用用再追加评论
正品 手机 都 买,正品，手机都是在这买的
手机 好 徂 满意,手机很好、徂满意👍
非常 好 卖家 服务态度 好 价格 实惠,非常好的卖家，服务态度好！价格实惠
不错 手机,不错的手机
还 手机 卖家 服务态度,还可以手机卖家服务态度也好
好不好 现在 还 不 知道,在用好不好现在还不知道
基本 符合 预期 客服 兰兰 服务态度 不错,基本符合预期 客服兰兰的服务态度不错
客服 熊二 服务态度 特别 好 点赞,客服熊二的服务态度特别好，点赞！👍
挺 好 惊艳,挺好的 很惊艳
还 不错,用着还不错
客服 灰灰 特别 好,客服灰灰特别好
物流 超快 赞,物流超快赞一个
快递 非常 给力 客服 人 好,快递非常给力，客服人也很好。
非常 失望 收到 货 拆开 第一次 开机 激活 死机 找 客服 知道 几个 小时 还要 没 人 告诉 我该 不是 扯皮 人 没找 退货 都 好 知道 知道 推卸责任 我会 第一 时间 找 退货 有时候 真的 不能 太好 说话,非常失望，收到货就拆开，第一次开机激活就死机了，找客服就知道要我等，等几个小时还要我等，没人告诉我该怎么办，我也不是扯皮的人，没找你们退货都是好，如果知道你们知道推卸责任，我会第一时间找你们退货，有时候真的不能太好说话了
正品 送 耳机 无线 充电 有点 垃圾,是正品，送的耳机和无线充电有点垃圾
第一次 遇到 这种 情况 没什么 要说,第一次遇到这种情况，没什么要说的。
